position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,combined_typeform_urls,publicwww_email_candidate_count,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,scan_mode,verification_eligible_emails,valid_emails,invalid_emails,risky_emails,unknown_emails,verification_summary
25001,>30M,arruda.ecn.br,yes,,,https://fiduc.typeform.com/to/T7SLj6,0,,contato@arruda.ecn.br,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25002,>30M,backcountrydesign.ca,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25003,>30M,dtrm.ca,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25004,>30M,hellosearchmarketing.ca,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25005,>30M,rkaur.ca,no,,,,0,,info@rkaur.ca ; ui@4.0,showing_email_candidates,not_flagged,contact_pages,info@rkaur.ca,,,,info@rkaur.ca,valid=0; invalid=0; risky=0; unknown=1
25006,>30M,coastersmobilebar.ca,no,,,,0,,alex@coasters.bar ; coastersbarservice@gmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25007,>30M,csigi.ca,yes,,,https://n5j7nueg6v4.typeform.com/to/IMLxNRcT ; https://n5j7nueg6v4.typeform.com/to/jPrTGpEW ; https://n5j7nueg6v4.typeform.com/to/l6UAFGJZ ; https://n5j7nueg6v4.typeform.com/to/OWMXUIwJ ; https://n5j7nueg6v4.typeform.com/to/pLhgEjTI ; https://n5j7nueg6v4.typeform.com/to/QWccTTue ; https://n5j7nueg6v4.typeform.com/to/sNEPQkQx,0,,info@centreforstrategicimpact.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25008,>30M,projectredribbon.ca,no,,,,0,,info@madd.ca,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25009,>30M,cleancooling.capital,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25010,>30M,leinenstroh.ch,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25011,>30M,alambic-rp.ch,no,,,,0,,romain@alambic-rp.ch,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25012,>30M,upside-education.ch,yes,,,https://lmqyn0wdyo9.typeform.com/to/LdGbLTtC ; https://lmqyn0wdyo9.typeform.com/to/PMVLVnbM,0,,info@upside-education.ch ; thalwilschweizinfo@upside-education.ch0448881428,showing_email_candidates,not_flagged,contact_pages,info@upside-education.ch,,,,info@upside-education.ch,valid=0; invalid=0; risky=0; unknown=1
25013,>30M,adstronaute.ch,no,,,https://formulairecontact.typeform.com/,0,,hello@adstronaute.ch,showing_email_candidates,not_flagged,contact_pages,hello@adstronaute.ch,hello@adstronaute.ch,,,,valid=1; invalid=0; risky=0; unknown=0
25014,>30M,maillist.cloud,no,,,https://embed.typeform.com/,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25015,>30M,heaviside.club,no,,,,0,,book@heaviside.club ; jaydon@heaviside.club,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25016,>30M,productpirates.club,no,,,,0,,hi@productpirates.club ; yavor@productpirates.club,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25017,>30M,andrewyeung.co,yes,,,,0,,andrew.yc.yeung@gmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25018,>30M,aspireautism.co,no,,,,0,,info@aspireautism.co ; intersection-observer@0.12.0,showing_email_candidates,not_flagged,contact_pages,info@aspireautism.co,,,,info@aspireautism.co,valid=0; invalid=0; risky=0; unknown=1
25019,>30M,warriorschool.co,yes,,,https://amy639434.typeform.com/to/rr5xqSiS,0,,amy@amykatebowe.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25020,>30M,teaminfinitefit.com,no,,,,0,,flags@2x.png,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25021,>30M,einklangmusicconsulting.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25022,>30M,obeishikimarketing.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25023,>30M,odysseylessons.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25024,>30M,sugasawa-cl.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25025,>30M,leadforwardhq.com,no,,,,0,,support@leadforwardhq.com,showing_email_candidates,not_flagged,contact_pages,support@leadforwardhq.com,,,,support@leadforwardhq.com,valid=0; invalid=0; risky=0; unknown=1
25026,>30M,reformasabel.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25027,>30M,theacreguys.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25028,>30M,esteticaengirona.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25029,>30M,tribetraininglincoln.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25030,>30M,aakankshasrivastava.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25031,>30M,mindshoptravel.com,no,,,https://mindshop.typeform.com/,0,,eduardo@mindshoptravel.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25032,>30M,ournextchurch.com,no,,,,0,,info@ournextchurch.com,showing_email_candidates,not_flagged,contact_pages,info@ournextchurch.com,,,,info@ournextchurch.com,valid=0; invalid=0; risky=0; unknown=1
25033,>30M,topdog-mc.com,yes,,,https://id7oe86hj6x.typeform.com/to/JbC4iODm,0,,jgiordano.pro@gmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25034,>30M,freecostslawyer.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25035,>30M,sotoelectronics.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25036,>30M,ssdhogansmith.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25037,>30M,wealthywebstudio.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25038,>30M,blueedgetravel.com,yes,,,https://form.typeform.com/to/T5ZXty4l,0,,contact@grandtour.com ; hello@blueedgetravel.com,showing_email_candidates,not_flagged,contact_pages,hello@blueedgetravel.com,hello@blueedgetravel.com,,,,valid=1; invalid=0; risky=0; unknown=0
25039,>30M,eliteentrentals.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25040,>30M,legaspesiendemenageur.com,no,,,,0,,legaspesiendemenageur@gmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25041,>30M,riumascotas.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25042,>30M,thegolfhypnotherapist.com,yes,,,https://qsisso5alne.typeform.com/to/imAbwEFV,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25043,>30M,lakewaymonuments.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25044,>30M,myanmar-can.com,no,,,,0,,myanmar-can@outlook.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25045,>30M,integrativeso.com,no,,,,0,,ianrees@integrativeso.com ; sbookkeepingsllc@gmail.com ; uikit@3.14.3,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25046,>30M,borlaitraining.com,no,,,https://embed.typeform.com/,0,,d0c8b947bb1a43afb4469d1689e3aac7@sentry.wponline.hu,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25047,>30M,sandraarbiol.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25048,>30M,synergyxpo.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25049,>30M,empowerwithmarlana.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25050,>30M,agcglp.com,no,,,,0,,contacto@servigasdelnorte.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25051,>30M,alpine-luxury-transfers.com,no,,,,0,,contact@alpine-luxury-transfers.com,showing_email_candidates,not_flagged,contact_pages,contact@alpine-luxury-transfers.com,contact@alpine-luxury-transfers.com,,,,valid=1; invalid=0; risky=0; unknown=0
25052,>30M,diosdose.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25053,>30M,fiab2025.com,yes,,,https://b4dktlpldqp.typeform.com/to/ahwt08wp,0,,anamaria.alonso@grupobme.es ; berenicemiren.areso@grupobme.es ; correo@fiabnet.org ; internacionalbme@grupobme.es,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25054,>30M,boundaries4you.com,yes,,,https://l7bcc1rywie.typeform.com/to/j96IHWbb,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25055,>30M,coastaldvs.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25056,>30M,collage-networks.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25057,>30M,dspyjobs.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25058,>30M,kaylandchildress.com,no,,,,0,,hello@kaylandchildress.com,showing_email_candidates,not_flagged,contact_pages,hello@kaylandchildress.com,hello@kaylandchildress.com,,,,valid=1; invalid=0; risky=0; unknown=0
25059,>30M,stonedrop2.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25060,>30M,violetandina.com,no,,,,0,,ejemplo@email.com ; nombre@tuempresa.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25061,>30M,viquarvineyards.com,no,,,,0,,lenis@1.1.20,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25062,>30M,barbadosluxuryvans.com,no,,,,0,,service@luxuryvansglobal.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25063,>30M,serenevillamanagementbali.com,yes,,,https://bmi6v42f0f7.typeform.com/to/b2219d4q,0,,contact@serenevillamanagementbali.com ; relandgroup@mail.com,showing_email_candidates,not_flagged,contact_pages,contact@serenevillamanagementbali.com,contact@serenevillamanagementbali.com,,,,valid=1; invalid=0; risky=0; unknown=0
25064,>30M,tervelassist.com,no,,,https://4bu0uqltuls.typeform.com/to/qUSvj2v5,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25065,>30M,magictravelwithcarrie.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25066,>30M,7phasebnb.com,no,,,,0,,flags@2x.png,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25067,>30M,eightve.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25068,>30M,mirai-iwakura.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25069,>30M,joinkoza.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25070,>30M,tallonandco.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25071,>30M,whdzyqah.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25072,>30M,iotapdf.com,no,,,,0,,hello@iotapdf.com,showing_email_candidates,not_flagged,contact_pages,hello@iotapdf.com,hello@iotapdf.com,,,,valid=1; invalid=0; risky=0; unknown=0
25073,>30M,12acrescreative.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25074,>30M,avantbohemia.com,yes,,,https://form.typeform.com/to/FmpcXXcp,0,,alyani@avantbohemia.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25075,>30M,blackcastlecny.com,yes,,,https://form.typeform.com/to/SShoeY9a,0,,blackcastlecny@gmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25076,>30M,faithful-reach.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25077,>30M,movebypat.com,yes,,,,0,,info@movebypat.com,showing_email_candidates,not_flagged,contact_pages,info@movebypat.com,,,,info@movebypat.com,valid=0; invalid=0; risky=0; unknown=1
25078,>30M,virtualizehealth.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25079,>30M,cohesion-commerce.com,no,,,,0,,contact@cohesion-commerce.com ; contact@proxy-commerce.com ; prenezrendezvousavecmoi@cohesion-commerce.com,showing_email_candidates,not_flagged,contact_pages,contact@cohesion-commerce.com,contact@cohesion-commerce.com,,,,valid=1; invalid=0; risky=0; unknown=0
25080,>30M,pilotagemx-247.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25081,>30M,whatsaudi.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25082,>30M,eastsideboxleague.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25083,>30M,emmenostudio.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25084,>30M,hoppyseo.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25085,>30M,itsanaelrose.com,yes,,,https://anael.typeform.com/to/FL2EXeR3,0,,anael@itsanaelrose.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25086,>30M,quanticahr.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25087,>30M,vicentecabansag.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25088,>30M,gammasweep.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25089,>30M,wearedesignforgood.com,yes,,,https://nrdly.typeform.com/to/IFc74HoC,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25090,>30M,azmountainvineyards.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25091,>30M,theconfidentwealthsolution.com,yes,,,https://form.typeform.com/to/mwdzavVZ,0,,support@theconfidentwealthsolution.com,showing_email_candidates,not_flagged,contact_pages,support@theconfidentwealthsolution.com,,,,support@theconfidentwealthsolution.com,valid=0; invalid=0; risky=0; unknown=1
25092,>30M,parallelsocialclub.com,yes,,,https://form.typeform.com/to/HZVBmz1f ; https://form.typeform.com/to/Z6ILlHzv,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25093,>30M,photobooth-creil.com,yes,,,https://0w57pgr4i8v.typeform.com/to/WHfC6Mn3,0,,contact@photobooth-creil.com,showing_email_candidates,not_flagged,contact_pages,contact@photobooth-creil.com,,contact@photobooth-creil.com,,,valid=0; invalid=1; risky=0; unknown=0
25094,>30M,texascurtdocs.com,yes,,,https://m0swxhak7mo.typeform.com/to/G34tMcZT,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25095,>30M,andcoachme.com,no,,,https://andcoachme.typeform.com/,0,,coach@andcoachme.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25096,>30M,antonshealthandwellnesscoach.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25097,>30M,belighthub.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25098,>30M,golflakevista.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25099,>30M,lauralexproject.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25100,>30M,le-palais-des-gourmands.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25101,>30M,summitdetailco.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
25102,>30M,therapmee.com,no,,,,0,,sam.therapmee@gmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
